"","aggregation","std_error","coverage","cover_5","cover_15","cover_25"
"1","grid","clustered at grid",0.95,0.91,0.905,0.79
"2","property","clustered at property",0.94,0.94,0.96,0.925
"3","county","clustered at county",0.905,0.895,0.955,0.94
"4","grid","classical",0.935,0.9,0.84,0.665
"5","property","classical",0.945,0.93,0.92,0.82
"6","county","classical",0.93,0.925,0.88,0.81
"7","pixel","classical",0.91,0.855,0.56,0.305
"8","pixel","clustered at property",0.855,0.81,0.75,0.815
"9","pixel","clustered at grid",0.93,0.85,0.71,0.715
"10","pixel","clustered at county",0.885,0.835,0.765,0.81
