"","iteration","b0","b1","b2_0","b2_1","b3","std_a","std_v","std_p","model","bias","parameterization"
"1","1",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","-0.00219830069920856",1
"2","2",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00209663901974489",1
"3","3",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00341103726756367",1
"4","4",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","-0.00261132008545974",1
"5","5",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","-0.00431866939149329",1
"6","6",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00800429897677271",1
"7","7",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.000849795783374319",1
"8","8",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00328250133443376",1
"9","9",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00516418270924677",1
"10","10",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00367754610745187",1
"11","11",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00364121730504827",1
"12","12",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00281131059305885",1
"13","13",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.000284312548794907",1
"14","14",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00317156650971016",1
"15","15",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00236894001072745",1
"16","16",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","-2.11520801412894e-05",1
"17","17",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00133937583871123",1
"18","18",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","-0.00156148844365108",1
"19","19",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00250635812572091",1
"20","20",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","-0.00421685196563282",1
"21","21",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00043121599531124",1
"22","22",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","-0.00406330933042136",1
"23","23",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","-0.00135760902367995",1
"24","24",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","-0.00144566019204037",1
"25","25",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.000713821467270618",1
"26","26",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00155859478015468",1
"27","27",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00339130318852466",1
"28","28",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00240606162846915",1
"29","29",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","-0.00219169523459094",1
"30","30",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00238564597315065",1
"31","31",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","-0.00301097954962293",1
"32","32",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","-0.00203913221781808",1
"33","33",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","-0.00117508264644836",1
"34","34",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","8.19773331180631e-05",1
"35","35",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","-0.00146478263244766",1
"36","36",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","-0.00182071690470738",1
"37","37",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00385719617508368",1
"38","38",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00102272004966425",1
"39","39",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00412064259284948",1
"40","40",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00242223505182803",1
"41","41",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","-0.00102420913489796",1
"42","42",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","-0.0012605716890215",1
"43","43",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00183334391399964",1
"44","44",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00220304972194248",1
"45","45",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.0022076695329743",1
"46","46",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00192784791338056",1
"47","47",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","-0.000730350375654824",1
"48","48",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00125039979249481",1
"49","49",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00267616887561947",1
"50","50",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","-0.000269747986902182",1
"51","51",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00246830032074129",1
"52","52",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00103326226331505",1
"53","53",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00389321331360753",1
"54","54",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00274691524337626",1
"55","55",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00263721007496271",1
"56","56",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00308896792935492",1
"57","57",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.000900173566327852",1
"58","58",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00113277002866816",1
"59","59",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.000542162041850595",1
"60","60",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.00433366349302529",1
"61","61",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.000589840646257131",1
"62","62",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","-0.00155740014011876",1
"63","63",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","-0.00136904096361761",1
"64","64",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.000171032807225741",1
"65","65",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","0.000972426834423241",1
"66","66",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","-0.00211331080775204",1
"67","67",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","-0.00338410572756976",1
"68","68",-0.552988817811266,0,-0.0334774644528157,-0.0334774644528157,-0.112838607006291,0.1,0.25,0,"DID","-0.00109391385247329",1
