"","iteration","b0","b1","b2_0","b2_1","b3","std_a","std_v","std_p","pixel","grid","property","county","pixel.fe","grid.fe","property.fe","county.fe","treatment.fe","se_pixel","se_grid","se_property","se_county","bias","cover","notes","paramterization"
"1","1",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00473528614163688","1","keeping pixels after deforestation event",1
"2","2",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00676115965732411","0","keeping pixels after deforestation event",1
"3","3",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00901803165128785","0","keeping pixels after deforestation event",1
"4","4",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00949478216028539","0","keeping pixels after deforestation event",1
"5","5",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00862474409612008","0","keeping pixels after deforestation event",1
"6","6",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.0120148294278572","0","keeping pixels after deforestation event",1
"7","7",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.0029808779909314","1","keeping pixels after deforestation event",1
"8","8",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.0082532355945611","0","keeping pixels after deforestation event",1
"9","9",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00206517416919933","1","keeping pixels after deforestation event",1
"10","10",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00685684698317958","0","keeping pixels after deforestation event",1
"11","11",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.0131432654248391","0","keeping pixels after deforestation event",1
"12","12",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.0124872241261331","0","keeping pixels after deforestation event",1
"13","13",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00988062268421914","0","keeping pixels after deforestation event",1
"14","14",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00256932413273698","1","keeping pixels after deforestation event",1
"15","15",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00497935205207862","1","keeping pixels after deforestation event",1
"16","16",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00771901648604102","0","keeping pixels after deforestation event",1
"17","17",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00701042443862727","0","keeping pixels after deforestation event",1
"18","18",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00567838941790906","1","keeping pixels after deforestation event",1
"19","19",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00559661258435868","1","keeping pixels after deforestation event",1
"20","20",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00254979323950067","1","keeping pixels after deforestation event",1
"21","21",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00632178481451968","0","keeping pixels after deforestation event",1
"22","22",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00939080474305627","0","keeping pixels after deforestation event",1
"23","23",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00709655708289948","0","keeping pixels after deforestation event",1
"24","24",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00251059094300494","1","keeping pixels after deforestation event",1
"25","25",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00867954300520025","0","keeping pixels after deforestation event",1
"26","26",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00432331075337257","1","keeping pixels after deforestation event",1
"27","27",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00258801196583359","1","keeping pixels after deforestation event",1
"28","28",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00908196371188137","0","keeping pixels after deforestation event",1
"29","29",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.0110638575902812","0","keeping pixels after deforestation event",1
"30","30",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.0125276910128383","0","keeping pixels after deforestation event",1
"31","31",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00349416110598251","1","keeping pixels after deforestation event",1
"32","32",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00551047994008653","1","keeping pixels after deforestation event",1
"33","33",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00612254160150512","0","keeping pixels after deforestation event",1
"34","34",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","5.55436122036575e-05","1","keeping pixels after deforestation event",1
"35","35",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00949436063021554","0","keeping pixels after deforestation event",1
"36","36",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","0.00118875694997704","1","keeping pixels after deforestation event",1
"37","37",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00778561823707692","0","keeping pixels after deforestation event",1
"38","38",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00718437584745108","0","keeping pixels after deforestation event",1
"39","39",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00643489538326215","0","keeping pixels after deforestation event",1
"40","40",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00403667030587624","1","keeping pixels after deforestation event",1
"41","41",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00784997182774029","0","keeping pixels after deforestation event",1
